name,priority,sector,category,website
SHIFA AL JAZEERA MEDICAL GROUP UAE,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.shifaaljazeeramedicalgroupuae.com
Jonny Parr Fitness - Premium Coaching,P1 · Core target,Healthcare & Wellness,Fitness & Sports,http://www.premiumpersonaltraining.online
Sahara Healthcare City,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.saharahealthcarecity.com
Galal medical centre,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.galalmediacalcentre.com
HEALTH AND BEAUTY MEDICAL CENTER LLC S.P.,P1 · Core target,Healthcare & Wellness,Dental,http://www.orthodontistindubai.org
Roots Medical Centre,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.rootsmedicalcentre.com
Sahara Medical Centre LLC,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.saharamedicalcentre.ae
Sharjah Wanderers Sports Club,P1 · Core target,Healthcare & Wellness,Fitness & Sports,http://www.sharjahwandererssc.com
Zaina Medical Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.zainamedicalcenter.com
Riaz Specialist Medical Center L.L.C,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.riazmedicalcenter.com
Shifa Al Jazeera Healthcare Group - UAE,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.shifaaljazeerauae.com
The Perfect Look Medical Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.theperfectlookuae.com
Simply Beauty Ladies Salon & Spa,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.simplybeautysalon.ae
WOW Medical Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.wowmedicalcenter.com
Wellness World GYM,P1 · Core target,Healthcare & Wellness,"Physio, Rehab & Wellness",http://www.wellnessworldgym.com
privatecare center,P1 · Core target,Healthcare & Wellness,"Physio, Rehab & Wellness",http://www.privatecarecenter.ae
ASH Beauty Lounge,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.ashbeautylounge.com
Austin Center For Rehabilitation & Autism Care-Dubai & Sharjah,P1 · Core target,Healthcare & Wellness,"Physio, Rehab & Wellness",http://www.austincenteruae.com
Recovery Island,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.recovery-island.com
Rise Birth Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.risebirthcenter.com
abrahams medical centre,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.abrahamsmedical.com
مركز الوزن المثالي الطبي,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.alwaznalmithaly.com
ALshifa Medical Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.alshifamedical.net
Expert Leaders Medical Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.expert-leaders.com
HEALINGPAWS VETERINARY CLINIC,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.healingpawsuae.com
My Fitness Coach,P1 · Core target,Healthcare & Wellness,Fitness & Sports,http://www.myfitnesscoach.fit
Ramzi Assi,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.sharjahdentist.com
Rekhas Dental Care,P1 · Core target,Healthcare & Wellness,Dental,http://www.rekhasdentcare.com
Seafarer Clinic,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.seafarerclinic.com
The Elegance Spa,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.theelegancespa.com
tawakal medical clinic,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.tawakalmedical.com
Laboratoire AQUATONALE (Middle East & Africa),P1 · Core target,Healthcare & Wellness,Aesthetic & Cosmetic,http://www.aquatonalefzc.com
Pause Salon And Spa For Women,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.pausesalonuae.com
Sameena Medical Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.sameenaclinic.com
Smart Opticals,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.smartopticals.com
Venecia Dental Clinic,P1 · Core target,Healthcare & Wellness,Dental,http://www.sharjahdental.com
Vet Plus Center,P1 · Core target,Healthcare & Wellness,Veterinary,http://www.vetpluscenter.com
Rayhan Health,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.rayhanhealth.com
Sharjah International Marine Sports Club,P1 · Core target,Healthcare & Wellness,Fitness & Sports,http://www.sharjahmarine.ae
Sunny Wellness,P1 · Core target,Healthcare & Wellness,"Physio, Rehab & Wellness",http://www.sunnywellness.ae
PROGETTOFISIO LLC,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.lucatapparo.com
Sultan Group Healthcare,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.sghealthcare.ae
YASMED Health Group,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.yasmedgroup.com
YASMED l Al Saha Al Shifa Hospital,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.sahaalshifa.com
عيادة الميزان الطبية meezan medical clinic,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.balancecure.org
Diamond Claw Veterinary Clinic,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.diamondclaw.ae
Polished Spa,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.polishedspa.ae
Ross Beauty Salon,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.salonhross.com
Sharjah Sports Club,P1 · Core target,Healthcare & Wellness,Fitness & Sports,http://www.sharjahclub.ae
The Mask Spa Center,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.themaskspa.com
ZAK Smart Medical Services,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.ngavoboce.shop
AlGhad Pharma Group,P1 · Core target,Healthcare & Wellness,Veterinary,http://www.alghad-pg.com
Beauty Cart,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.beautycart.ae
MedArk CRO,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.medarkcro.com
Qudrah Fitness,P1 · Core target,Healthcare & Wellness,Fitness & Sports,http://www.qudrahfit.com
Revive Spa,P1 · Core target,Healthcare & Wellness,"Beauty, Spa & Wellness",http://www.revivespa.com
aiHealth Medical Center,P1 · Core target,Healthcare & Wellness,Healthcare & Clinics,http://www.aihealthmc.ae
